"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Austria","AUT","Land under cereal production (hectares)","AG.LND.CREL.HA","","902089","897794","888269","896099","866741","900828","902756","911199","957929","961847","969719","975268","982257","986019","987058","1024869","1026231","1053361","1067918","1068780","1050430","1051744","1067296","1051447","1053466","1058754","1000352","966344","946951","948437","924565","838900","826603","822728","809135","833764","849121","840960","811405","831695","825984","816775","812408","819595","800099","780782","815523","845637","839771","824426","809471","813509","786663","811771","783127","786833","778650","781374","","",
"Azerbaijan","AZE","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","626829","702734","631164","603597","621357","643759","579134","512170","640713","752066","813191","765399","806034","792935","773895","728677","882711","1113798","954540","954274","1017875","1061005","980523","940007","986891","959992","1055769","","",
"Burundi","BDI","Land under cereal production (hectares)","AG.LND.CREL.HA","","137397","127800","141460","149900","150750","155802","155124","157700","152102","154623","154613","151723","158398","146930","162468","164370","167100","163700","194000","203668","210102","205500","207500","202000","222126","219195","227400","244250","216150","217500","219000","220000","214974","176284","202000","196675","212528","204200","202000","207403","221000","223400","220067","218800","220900","232500","232202","232800","239700","261942","292695","232076","215561","177286","215969","315283","326975","341082","","",
"Belgium","BEL","Land under cereal production (hectares)","AG.LND.CREL.HA","","528292","522291","498118","499021","517591","550260","534118","528850","521931","507091","502217","506973","491124","467671","442933","459560","446311","446037","444496","430392","403244","398492","404149","401084","383992","387092","376564","385381","385422","368230","347798","346774","344213","322923","318535","310909","316305","345751","300668","313300","287000","310474","300210","319218","322166","320570","314751","350366","335264","325351","326241","341312","336226","335211","321445","327535","305433","304515","","",
"Benin","BEN","Land under cereal production (hectares)","AG.LND.CREL.HA","","531800","585468","553182","556454","519948","493391","543196","508454","493091","493826","446885","488973","500470","473845","403870","383638","432443","563890","539828","481650","553152","542482","585376","604468","625625","593932","552571","667296","661838","643859","665691","667314","680219","674452","675896","707595","784772","821252","838189","901324","881728","960147","907779","967614","1013628","920580","901020","1093977","1059450","1110660","1017434","1147742","1211080","1173784","1229296","1246199","1350154","1616613","","",
"Burkina Faso","BFA","Land under cereal production (hectares)","AG.LND.CREL.HA","","1777392","1872821","1940525","1934100","1963000","2018500","2288401","1733214","2140460","2061898","1988087","1908554","1904280","2225750","2247300","1994000","2098896","2029709","2035662","1839110","2202721","2129170","2173976","1846796","2233598","2701884","2551189","2889595","2900530","2528900","2800600","2844000","2699678","2833071","2711913","2707855","2858017","2988490","2957438","2661349","3212574","3308691","3577488","3084961","3237581","3057328","3320950","4191339","3619256","4291496","3684446","4071781","4210656","3646006","3584230","4017586","4026919","4505001","","",
"Bangladesh","BGD","Land under cereal production (hectares)","AG.LND.CREL.HA","","8639332","8855818","9170275","9364054","9492394","9208509","10036709","9931197","10545400","10146201","9531242","9857487","10094822","10012328","10549360","10123512","10278378","10371255","10507816","10817980","11143697","11181582","10423553","10895119","11233180","11304320","11036881","10935858","11153325","11140604","10954903","10860774","10642068","10632902","10683381","10994172","11062180","11020640","11680974","11672247","11485595","11588093","11500907","10978274","11176338","11178034","11152085","11930855","11909888","12093951","12090666","12011654","12056374","12165112","12156367","11793602","12430005","12695088","","",
"Bulgaria","BGR","Land under cereal production (hectares)","AG.LND.CREL.HA","","2521386","2451390","2425275","2448730","2310600","2328375","2213008","2166840","2154263","2172992","2222151","2202120","2098266","2075355","2246457","2269586","2240961","2141680","2186389","2064114","2080033","2134550","2133798","2056324","1846596","2098370","1969203","2109569","2164286","2055264","2251105","2232376","2267609","2301503","2131732","1783266","2054766","2003256","1771884","1783922","2096588","2145075","1608438","1830124","1723955","1548461","1533535","1713492","1829228","1770374","1769184","1903165","2006986","1960700","1835350","1816636","1729267","1817781","","",
"Bahrain","BHR","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Land under cereal production (hectares)","AG.LND.CREL.HA","","150","180","240","280","330","470","480","500","500","520","535","555","580","595","604","612","621","630","630","630","630","635","600","600","610","610","550","500","500","500","450","300","250","174","174","174","200","190","175","126","100","100","100","100","100","100","100","105","100","90","94","94","93","93","95","96","86","85","","",
"Bosnia and Herzegovina","BIH","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","304100","274631","235000","187200","237900","352483","381096","364394","364765","355432","341599","314624","324504","317350","312527","310427","310520","308836","286769","300208","301933","303586","272202","298319","319268","312697","317749","","",
"Belarus","BLR","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2603000","2625828","2623860","2583092","2508524","2468056","2386888","2282620","2348652","2441884","2310016","2109314","2211921","2142953","2234936","2440144","2458912","2425695","2400594","2466930","2541965","2404759","2428139","2218602","2206134","2241784","2133721","","",
"Belize","BLZ","Land under cereal production (hectares)","AG.LND.CREL.HA","","8129","5419","5550","7291","7842","8128","8102","8410","8785","11892","13357","14424","13042","15475","15782","16857","16106","13961","12909","13800","15432","14342","12718","14305","16630","13056","16300","17000","17720","14815","16903","16653","19970","18104","22560","22335","25007","21247","22207","19797","18473","23042","21052","22800","25007","19979","23866","24523","32487","30554","29082","26550","30959","26295","27938","28932","27991","24567","","",
"Bermuda","BMU","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Land under cereal production (hectares)","AG.LND.CREL.HA","","431159","441960","475397","479702","432772","428936","392107","444767","464910","453355","463110","451760","456646","477335","519250","516695","536940","519405","526295","560535","589060","558838","476083","662023","728061","651475","649338","631546","624287","582495","664550","680232","724636","670717","697917","705642","680721","774566","832306","757852","742201","768259","744911","775942","861350","888530","983097","1018121","1014013","941043","972000","1005820","1457127","1250800","1287146","1260291","1234818","1400133","","",
"Brazil","BRA","Land under cereal production (hectares)","AG.LND.CREL.HA","","11168641","11522315","12565288","13107902","14247927","13523268","14493244","15119971","15774034","16821700","17674109","17468377","16803961","18023969","19309530","21558886","21283876","19860058","20861400","21080553","19893608","21903982","18083861","19502145","19702168","22404844","23456712","23082577","21970521","18512400","19821126","20564117","18293707","20063935","19752837","17519708","17794686","15788868","17435114","17601718","18148670","17883426","19925261","20420482","19313005","18423582","19543770","20814408","20077516","18601205","19216441","19611226","20906133","21851934","21203747","20128517","22646962","21445930","","",
"Barbados","BRB","Land under cereal production (hectares)","AG.LND.CREL.HA","","380","358","376","284","300","400","430","610","730","660","600","760","760","765","765","765","765","765","765","800","800","800","800","880","800","820","820","840","840","860","800","700","600","500","400","300","250","200","150","115","96","83","100","94","95","100","105","98","93","90","90","100","120","30","44","33","25","38","","",
"Brunei Darussalam","BRN","Land under cereal production (hectares)","AG.LND.CREL.HA","","2836","2831","2821","2600","2510","2448","3480","3480","3650","3456","2734","2473","2522","3363","3636","3680","2833","2410","2121","1991","1828","1596","1694","2100","873","721","1016","890","700","600","550","600","350","470","310","270","357","417","380","460","480","510","690","757","975","1095","1355","1300","1731","1848","1604","1797","1280","966","924","1013","920","783","","",
"Bhutan","BTN","Land under cereal production (hectares)","AG.LND.CREL.HA","","68300","70400","72600","74500","76600","78600","80900","83900","85700","87700","89700","91600","93700","95800","97450","99800","101700","104000","107450","110950","112300","115017","120150","124030","120700","119800","118200","93040","93380","94799","97352","95251","100313","102967","109483","110600","110204","107782","100386","74170","79342","59031","59426","51405","82499","83943","95467","60554","66446","58578","65794","56994","54297","53334","50518","52137","56005","56134","","",
"Botswana","BWA","Land under cereal production (hectares)","AG.LND.CREL.HA","","181860","49768","48460","41698","35172","80619","206775","99160","161765","182379","215194","83818","125250","160270","150270","191470","177300","127300","73700","193500","196900","67100","63200","63200","103000","118400","127300","288300","267500","204982","137174","77933","109311","247549","136931","276883","158760","60531","91141","161032","41627","96508","29548","97254","83251","117650","48987","101822","152311","135467","163673","102001","88982","164624","46982","94544","73191","96151","","",
"Central African Republic","CAF","Land under cereal production (hectares)","AG.LND.CREL.HA","","153500","154000","155000","131500","112000","106000","123000","114000","127000","129400","133000","143500","151810","201692","177461","182500","178000","156056","187340","191665","203789","214920","152200","132240","102860","149573","131796","128708","114578","110070","102426","93395","94609","114904","129788","143200","146000","149111","159907","166718","176834","184400","199911","208306","226872","229368","248704","248770","264307","172033","170184","154737","161644","148809","148954","162598","156058","145922","","",
"Canada","CAN","Land under cereal production (hectares)","AG.LND.CREL.HA","","16985264","18340807","18556188","18664782","18625128","19599536","19802974","19840692","18334919","13531041","18114448","17843070","18757283","17874547","18081682","19646229","18641159","18477650","17688300","19318900","21676900","21480700","21521900","21101600","21709000","22161800","21544800","20231700","21922393","21547874","20868753","20177800","19449800","17968300","18276700","20565900","19193300","18322900","17524800","18209500","17733700","15174800","17833000","16161700","15846800","15946100","16145100","16519700","15060300","13141600","13536700","14988396","15981384","14144484","14554200","13797513","13830500","14978100","","",
"Central Europe and the Baltics","CEB","Land under cereal production (hectares)","AG.LND.CREL.HA","","21920693","21236875","21145481","21185616","20812888","20702896","20410239","20563246","20639176","19430278","19976693","20160224","19392896","19325646","19483010","19467094","19554794","19312801","19307307","19294125","19008710","19132879","19199745","19400857","19208071","19419666","19183704","19318443","19385047","19068729","19902118","22045474","25486958","25562875","24841673","24133727","25406931","24818629","23043043","23663559","25031622","23766164","22249431","23992350","23550150","22532169","22242114","23301630","23499233","21588518","22211369","22743963","22677236","22737955","22582857","22398321","21728757","22192543","","",
"Switzerland","CHE","Land under cereal production (hectares)","AG.LND.CREL.HA","","180255","184650","175300","174285","173683","171400","168900","169410","175385","171620","173480","181000","178550","179739","177804","175600","172310","173410","172300","170665","174510","175930","177400","181440","184315","188560","186190","196510","208040","211903","208670","201240","201800","208990","205248","196438","186373","186867","182256","182671","179576","173482","166558","161753","167689","164346","157777","156315","152956","151628","145386","147041","145871","141184","141503","144314","143615","142182","","",
