"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Burundi","BDI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","610","650","650","620","590","550","510","500","530","520","540","530","550","530","550","560","590","610","630","640","660","680","690","740","780","840","800","770","780","790","",
"Belgium","BEL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18700","19690","20360","20760","21990","22880","23220","24300","24960","26030","28510","29340","30810","31490","32480","33590","35720","37260","38800","38480","40480","41010","43270","44750","45870","46850","49060","50900","53180","55370","",
"Benin","BEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1230","1290","1290","1370","1370","1440","1490","1560","1610","1670","1750","1830","1880","1920","2000","2050","2130","2250","2350","2350","2350","2410","2480","2650","2820","2860","2980","3010","3200","3390","",
"Burkina Faso","BFA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590","650","640","660","670","700","780","810","860","910","920","970","1000","1060","1110","1200","1290","1340","1400","1390","1460","1520","1580","1640","1620","1640","1810","1970","2080","2180","",
"Bangladesh","BGD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","870","910","960","1010","1050","1100","1150","1200","1250","1300","1370","1450","1510","1590","1690","1830","2010","2200","2380","2490","2640","2830","3190","3400","3590","3790","4070","4340","4750","5190","",
"Bulgaria","BGR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6940","6470","6790","6890","7180","7550","6610","5570","6060","5730","6270","6970","7950","8550","9300","10320","11110","11860","13650","13740","14570","15170","16030","16220","17410","17770","19400","20870","22190","24180","",
"Bahrain","BHR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28280","31310","32190","34690","34260","36690","38110","37590","39050","39240","41140","40590","39640","40950","42250","44230","45240","46880","46130","41630","42550","41180","49020","49600","48600","43030","42280","45030","44700","44330","",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18950","18390","18100","18070","18700","21770","24000","22120","23050","26250","27550","28270","29110","28860","29410","30690","31710","32400","32190","30300","30460","30940","31880","31770","31850","32280","32900","35250","35920","37350","",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","850","1080","2210","3090","4430","4770","5040","5190","5530","5720","6500","6750","7630","8430","9360","9380","9510","10060","10380","11160","11530","12090","13090","13700","14870","15810","",
"Belarus","BLR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5230","5340","4930","4650","4170","3840","4040","4580","5040","5330","5780","6220","6690","7370","8490","9630","10970","12220","13780","13830","15050","16170","17660","18260","18360","17240","16900","17580","18650","19100","",
"Belize","BLZ","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3270","3690","4130","4390","4350","4400","4380","4470","4460","4710","5210","5320","5530","5880","6030","6220","6550","6430","6630","6930","6800","7170","6700","6680","6580","6840","6730","6620","6560","6560","",
"Bermuda","BMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72180","71790","70450","72180","71390","74460","78530","85190","86090","86450","",
"Bolivia","BOL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2250","2410","2490","2600","2730","2860","2990","3140","3280","3270","3350","3410","3490","3540","3690","3930","4180","4400","4710","4790","4930","5240","5570","6210","6690","6890","7360","8170","8650","8910","",
"Brazil","BRA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6520","6760","6780","7110","7420","7970","8060","8310","8200","8160","8800","8960","9250","9420","10140","10670","11350","12280","12990","12980","13860","14650","14670","15370","15430","14470","13950","14250","14360","14680","",
"Barbados","BRB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9360","9300","8980","9190","9520","9820","10320","11010","11500","11600","12310","12180","12390","12810","13400","14140","15120","16140","16310","15680","15730","15250","14740","14700","14540","14810","15220","15080","15320","15740","",
"Brunei Darussalam","BRN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55920","57950","60350","60250","61770","64190","65590","64190","63100","64530","66440","68350","70720","72760","73810","75210","79770","81430","80340","78680","79690","81680","86130","82860","81300","65690","60420","64620","62220","66460","",
