"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.743807125707333","1.09025199989812","2.54778772013901","4.3063589664695","2.4741326392978","3.04416463167499","1.49673477762576","2.60287853741783","0.556209534512282","0.595052319085588","0.81544118479173","-0.938855582055915","1.26331370970477","2.14886915931406","2.1820694716543","1.54836052349938","2.31105283804056","1.946815276388","-1.9667299656426","0.73576731673703","3.97942644415145","2.47823265485193","2.23885151817415","2.25692455485092","3.86468525569466","4.213508262107","4.23131597325956","4.58963904384252","3.8838085677759","3.4614454750363","",
"Afghanistan","AFG","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3885826170343","16.4331102524368","10.6173879006221","3.22601610600069","8.70015215881864","9.25462489464339","6.71844344191963","9.78378157226298","9.52273764553946","15.3494808453113","17.5493073409976","8.93382630553334","7.95382323169088","6.94523881683758","5.99015624819012","7.87830698982575","16.0382494544213","0.913847808986693","4.20049381962462","3.4281884931703","0.93873312511568","-0.663389147635823","7.01640024097272","-0.203374412456797","3.29060036373265","1.60107237352023","0.490983873017939","1.15016854949388","0.461203242635591","4.95580786562282","",
"Angola","AGO","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-7.67353266025763","-23.0438331118616","3.46865461471152","3.63717698601587","-2.97475116280462","0.455812068519239","3.87694671778419","-2.4601894143107","-15.7615601405133","-6.12388575040606","-3.8532456428209","-2.49730145542681","0.307792946281931","-1.1208050249133","1.84008825743349","7.24857696281804","6.49153118292819","0.819796317704353","-5.40599012927208","-6.85420194748732","",
"Albania","ALB","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.8575153803985","-38.9882612906488","-43.6197714076913","-6.18380825239284","-10.4000784883238","4.31263455878118","5.49626127648575","-5.98542916495941","7.17543745262543","4.94512201326583","15.5652780429246","19.0632342599841","15.5144076116231","16.4205714697087","19.3836148582193","20.3219000827154","19.4121369962137","12.6130267748218","6.8633868645696","6.26393378950888","8.23815823021065","6.31517135337689","4.61274937713814","3.01691695934414","0.621813531405619","-0.0408947143892533","1.01473591305119","0.152978159669621","0.586791338060026","-2.31177556978552","",
"Andorra","AND","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.71018019424232","3.91046769012033","2.78763865552095","2.72400570841792","3.99094823369525","3.94581241788989","5.13235322781134","4.71149035704106","7.50680431713899","","","9.81342217852489","12.6755415376021","15.8788545879764","20.6954994215071","22.6013946365519","23.5803639669125","25.6838467797828","14.3196091835326","19.6036108542194","23.7644052800969","22.4058364739432","19.9168888441965","17.4650883057424","9.93735516577996","10.340303100129","12.7358913624081","14.4078928115948","13.1012067824441","",
"United Arab Emirates","ARE","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Adjusted net savings, including particulate emission damage (% of GNI)","NY.ADJ.SVNG.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.57293402900344","5.55067599918014","6.64284184874214","9.08686275058004","8.29635848405815","7.22755613618597","8.50176450692415","7.28231634239663","7.55337760656057","3.93973073053897","4.02418052303348","4.04094745170489","4.50719444472426","7.21307124425224","-0.265954348274178","0.062414867639164","8.87345150003985","11.4368516005629","10.3712764858023","7.78525587462868","6.91639179881271","7.12273317002545","5.34823145377385","4.1525517314902","4.45369625673567","4.79959644555055","4.9044789117956","4.80646196726528","4.53681447017621","5.11500888866379","",
